Sitename,Time,ActualPG,RefPG,PowerDifference,mesaage,GHI_value,GTI_value,amb_TEMP_value,mod_temp
bankan,06:05,0.05,0.11,-0.06,HIGH,13.2902250289917,12.582037925720215,0,17.18604278564453
bankan,06:11,0.07,0.14,-0.07,HIGH,17.53504180908203,16.873991012573242,0,17.44156265258789
bankan,06:16,0.03,0.19,-0.16,HIGH,24.856748580932617,22.750507354736328,0,17.66465950012207
bankan,06:21,0.13,0.27,-0.14,HIGH,30.124509811401367,27.388755798339844,0,18.242752075195312
bankan,06:27,0.16,0.27,-0.11,HIGH,32.355655670166016,29.498004913330078,0,18.79533576965332
bankan,06:32,0.52,0.51,0.01,LOW,49.30270767211914,52.584312438964844,0,19.27909278869629
bankan,06:38,0.81,0.95,-0.14,HIGH,83.26124572753906,85.776123046875,0,19.685102462768555
bankan,06:43,1.33,1.65,-0.32,HIGH,126.3940658569336,142.86227416992188,0,20.03839683532715
bankan,06:49,1.77,2.39,-0.62,HIGH,175.3584747314453,190.18919372558594,0,20.71945571899414
bankan,06:54,2.08,2.63,-0.55,HIGH,199.12783813476562,202.29901123046875,0,22.41579818725586
bankan,06:59,2.1,2.8,-0.7,HIGH,203.3001708984375,202.173095703125,0,23.439552307128906
bankan,07:05,2.43,3.13,-0.7,HIGH,225.60357666015625,219.51930236816406,0,23.99823760986328
bankan,07:10,2.53,3.02,-0.49,HIGH,221.75344848632812,214.09402465820312,0,23.88361358642578
bankan,07:16,3.03,3.53,-0.5,HIGH,263.32366943359375,253.29876708984375,0,24.19141960144043
bankan,07:21,3.56,4.24,-0.68,HIGH,298.224609375,286.5115661621094,0,26.378032684326172
bankan,07:27,3.67,4.48,-0.81,HIGH,314.7366943359375,308.19171142578125,0,27.372093200683594
bankan,07:32,3.88,4.88,-1.0,HIGH,327.8175048828125,326.4299011230469,0,28.2462158203125
bankan,07:38,3.58,2.61,0.97,LOW,201.89865112304688,204.9539337158203,0,28.020021438598633
bankan,07:43,3.75,3.01,0.74,LOW,222.31727600097656,221.91188049316406,0,28.676727294921875
bankan,07:48,3.41,4.21,-0.8,HIGH,287.2621765136719,290.7300720214844,0,28.087594985961914
bankan,07:54,3.61,4.21,-0.6,HIGH,284.6041259765625,294.0356140136719,0,28.4867000579834
