,time,Power Generation Instant (MW),Amb. Temp Instant,GTI Instant,Humidity Instant,day
0,2023-01-11 05:40:41,25.8992,28.63,927.2216,35.5338,11
1,2023-01-11 05:35:40,25.6958,28.35,910.8975,35.0008,11
2,2023-01-11 05:30:30,25.1512,28.4,908.2029,37.8559,11
3,2023-01-11 05:25:30,25.1073,28.48,885.7557,38.7145,11
4,2023-01-11 05:20:29,25.046,28.82,880.0639,35.8665,11
5,2023-01-11 05:15:29,24.5863,28.48,876.6646,38.1533,11
6,2023-01-11 05:10:28,24.1415,27.97,855.7546,40.5891,11
7,2023-01-11 05:05:28,24.0708,27.36,851.1248,42.7469,11
8,2023-01-11 05:00:27,23.692,26.54,836.1359,43.3004,11
9,2023-01-11 04:55:26,23.279,26.14,813.2948,47.7919,11
10,2023-01-11 04:50:25,22.9728,25.73,772.8826,48.5932,11
11,2023-01-11 04:45:25,22.6232,25.44,765.3968,48.4652,11
12,2023-01-11 04:40:15,22.2414,25.13,766.9135,50.6355,11
13,2023-01-11 04:35:14,21.9832,24.6,742.3321,51.3028,11
14,2023-01-11 04:30:04,21.492,24.3,723.1708,53.1701,11
15,2023-01-11 04:25:04,21.0383,24.23,698.9406,53.0439,11
16,2023-01-11 04:20:03,20.6288,23.81,694.7349,55.1831,11
17,2023-01-11 04:15:03,20.1909,23.78,678.5365,54.7439,11
18,2023-01-11 04:10:02,19.7364,23.73,656.9461,55.8721,11
19,2023-01-11 04:04:52,19.1854,23.58,638.4106,56.497,11
20,2023-01-11 03:59:52,18.7772,23.25,624.3548,58.085,11
21,2023-01-11 03:54:51,18.2614,22.86,600.1656,58.6745,11
22,2023-01-11 03:49:51,17.5976,22.76,587.4474,59.7882,11
23,2023-01-11 03:44:50,17.0753,22.22,565.2104,61.1439,11
24,2023-01-11 03:39:47,16.5364,22.14,544.7863,61.359,11
25,2023-01-11 03:34:46,15.9322,21.76,523.5847,62.677,11
26,2023-01-11 03:29:43,15.2858,21.32,498.4649,64.8099,11
27,2023-01-11 03:24:33,14.5147,20.75,478.6918,66.5654,11
28,2023-01-11 03:19:32,13.8725,20.08,456.5602,67.89,11
29,2023-01-11 03:14:29,13.2293,19.06,434.0571,69.925,11
30,2023-01-11 03:09:19,12.4894,18.55,411.842,70.5207,11
31,2023-01-11 03:04:18,11.8508,18.03,391.485,70.9964,11
32,2023-01-11 02:59:18,11.0475,17.34,371.5318,71.4416,11
33,2023-01-11 02:54:17,10.4423,16.86,344.0912,71.6491,11
34,2023-01-11 02:49:16,9.5436,16.42,324.6764,71.6195,11
35,2023-01-11 02:44:16,8.4462,15.96,302.8865,71.7676,11
36,2023-01-11 02:39:15,7.5375,15.51,280.5717,71.5306,11
37,2023-01-11 02:34:12,6.332,15.1,261.1421,71.2042,11
38,2023-01-11 02:29:01,4.9699,14.64,235.3607,71.0855,11
39,2023-01-11 02:24:01,4.062,14.19,213.7172,71.2636,11
40,2023-01-11 02:18:50,3.3366,13.78,192.7867,71.4119,11
41,2023-01-11 02:13:47,2.7516,13.33,171.5152,72.0045,11
42,2023-01-11 02:08:46,2.3086,12.99,149.2941,71.8861,11
43,2023-01-11 02:03:37,1.8508,12.69,123.8655,70.3719,11
44,2023-01-11 01:58:26,1.4765,12.34,101.2752,69.6565,11
45,2023-01-11 01:53:26,1.2453,12.07,86.3094,70.0144,11
46,2023-01-11 01:48:22,1.0132,11.82,72.9869,70.223,11
47,2023-01-11 01:43:21,0.7823,11.77,56.5477,69.1486,11
48,2023-01-11 01:38:17,0.5271,11.76,35.1655,69.5371,11
49,2023-01-11 01:33:16,0.3539,11.78,21.8249,70.1039,11
50,2023-01-11 01:28:12,0.2058,11.93,12.7738,70.6397,11
51,2023-01-11 01:23:11,0.0914,12.14,6.1859,69.8355,11
52,2023-01-11 01:18:02,0.0004,12.29,3.5414,68.4001,11
53,2023-01-11 01:12:51,-0.0603,12.32,0.4833,68.1002,11
54,2023-01-11 01:07:47,-0.0654,12.25,0.9185,67.6195,11
55,2023-01-11 01:02:47,-0.065,12.08,1.1272,68.0701,11
56,2023-01-11 00:57:46,-0.0663,11.91,0.0,69.2682,11
57,2023-01-11 00:52:45,-0.0644,11.83,0.0,70.7587,11
58,2023-01-11 00:47:35,-0.063,11.9,0.0,72.1229,11
59,2023-01-11 00:42:35,-0.0646,12.02,0.0,72.2412,11
60,2023-01-11 00:37:34,-0.0648,12.12,0.0,72.1524,11
61,2023-01-11 00:32:33,-0.0658,12.16,0.3575,72.3003,11
62,2023-01-11 00:27:33,-0.0661,12.16,0.0,72.6548,11
63,2023-01-11 00:22:32,-0.0669,12.19,0.0,73.8921,11
64,2023-01-11 00:17:32,-0.0659,12.48,0.0,74.9775,11
65,2023-01-11 00:12:31,-0.0679,12.53,0.0,73.2742,11
66,2023-01-11 00:07:30,-0.0684,12.56,0.0,74.831,11
67,2023-01-11 00:02:30,-0.0676,12.86,0.0,75.1531,11
68,2023-01-10 23:57:29,-0.0646,13.08,0.0,74.7725,10
69,2023-01-10 23:52:29,-0.0642,13.26,0.0,74.6553,10
70,2023-01-10 23:47:28,-0.0657,13.44,0.0,74.538,10
71,2023-01-10 23:42:27,-0.0676,13.57,0.0,74.45,10
72,2023-01-10 23:37:26,-0.0679,13.66,0.0,73.9803,10
73,2023-01-10 23:32:26,-0.0702,13.74,0.0,74.5966,10
74,2023-01-10 23:27:25,-0.07,13.73,0.0,74.6553,10
75,2023-01-10 23:22:25,-0.0692,13.69,0.0,75.0067,10
76,2023-01-10 23:17:21,-0.0694,13.64,0.0,74.831,10
77,2023-01-10 23:12:21,-0.0697,13.54,0.0,75.036,10
78,2023-01-10 23:07:11,-0.0693,13.5,0.0,74.8018,10
79,2023-01-10 23:02:01,-0.0687,13.57,0.0,74.8896,10
80,2023-01-10 22:57:00,-0.0671,13.7,0.0,74.831,10
81,2023-01-10 22:51:50,-0.0694,13.67,0.0,75.036,10
82,2023-01-10 22:46:39,-0.0696,13.67,0.0,75.1531,10
83,2023-01-10 22:41:38,-0.07,13.67,0.0,75.2701,10
84,2023-01-10 22:36:38,-0.0709,13.67,0.0,75.2116,10
85,2023-01-10 22:31:27,-0.072,13.86,0.0,75.1531,10
86,2023-01-10 22:26:27,-0.0725,13.84,0.0,74.5087,10
87,2023-01-10 22:21:23,-0.073,14.44,0.0,74.8896,10
88,2023-01-10 22:16:23,-0.0738,14.67,0.0,74.45,10
89,2023-01-10 22:11:12,-0.0728,14.5,0.0,74.4207,10
90,2023-01-10 22:06:12,-0.073,14.37,0.0,74.6846,10
91,2023-01-10 22:01:11,-0.0744,14.58,0.0,74.8018,10
92,2023-01-10 21:56:01,-0.0735,14.27,0.0,74.4207,10
93,2023-01-10 21:50:57,-0.0715,14.17,0.0,74.2152,10
94,2023-01-10 21:45:56,-0.0718,14.12,0.0,74.0097,10
95,2023-01-10 21:40:56,-0.0723,14.1,0.0,74.2446,10
96,2023-01-10 21:35:55,-0.0731,14.2,0.0,75.1823,10
